,"First Name","Last Name","Email","Phone","Street Adress","City","Postal","Number of Days Taken Off"
"1","Theresa","Fox","tfox0@myspace.com","(904) 2573-357","614 Nova Lane","San Francisco","32244","5"
"2","Cheryl","Reid","creid1@edublogs.org","(323) 489-0652","02835 Buhler Avenue","San Francisco","91103","2"
"3","Amy","Hernandez","ahernandez2@nba.com","(202) 432-5207","32515 Walton Place","San Francisco","20238","2"
"4","Marilyn","Morales","mmorales3@admin.ch","(504) 381-9084","304 Sugar Road","San Francisco","70142","8"
"5","Christine","Ferguson","cferguson4@delicious.com","(206) 706-1593","6 Ronald Regan Circle","San Francisco","98115","3"
"6","Jose","Roberts","jroberts5@1und1.de","(254) 349-9835","6723 Drewry Center","San Francisco","76598","5"
"7","Christina","Gordon","cgordon6@time.com","(609) 887-8512","6 Loeprich Avenue","San Francisco","8695","6"
"8","Chris","Ramos","cramos7@fastcompany.com","(815) 462-1020","79387 Lake View Crossing","San Francisco","60435","13"
"9","Teresa","Jordan","tjordan8@google.de","(518) 348-3409","90435 Butterfield Point","San Francisco","12305","1"
"10","Martin","Price","mprice9@hhs.gov","(312) 961-6752","744 Thompson Trail","San Francisco","60674","10"
"11","Catherine","Marshall","cmarshalla@census.gov","(682) 795-3168","2392 Basil Road","San Francisco","76178","3"
"12","Earl","Moreno","emorenob@pen.io","(202) 851-5956","08 Derek Plaza","San Francisco","20580","14"
"13","Jacqueline","Porter","jporterc@smh.com.au","(281) 814-8383","474 Crownhardt Pass","San Francisco","77346","15"
"14","Dorothy","Wright","dwrightd@washington.edu","(419) 766-0024","5489 Sachtjen Pass","San Francisco","44905","8"
"15","Susan","Dean","sdeane@bluehost.com","(720) 787-1163","1 Crest Line Point","San Francisco","80305","11"
"16","Harry","Daniels","hdanielsf@jugem.jp","(260) 430-8284","0502 Eagle Crest Circle","San Francisco","46814","15"
"17","Karen","Torres","ktorresg@wp.com","(505) 100- 9381","37 Dixon Way","San Francisco","87140","3"
"18","Keith","Rogers","krogersh@adobe.com","(806) 575-7824","48 Sheridan Court","San Francisco","79171","1"
"19","Stephen","Brown","sbrowni@hatena.ne.jp","(205) 264-3871","95 Mariners Cove Alley","San Francisco","35236","15"
"20","Timothy","Rose","trosej@deliciousdays.com","(234) 921-9593","87 Randy Terrace","San Francisco","44760","9"
